number,opened_at,resolved_at,closed_at,category,subcategory,priority,assignment_group,incident_state,reassignment_count,reopen_count,final_end_time,Resolution_Time_Hours
INC0006466,2016-03-14 09:14:00,2016-03-23 14:49:00,2016-03-28 14:59:00,Category 32,Subcategory 9,3 - Moderate,Group 70,Closed,1,0,2016-03-23 14:49:00,221.58333333333334
INC0006467,2016-03-14 09:14:00,2016-03-14 14:49:00,2016-03-24 18:52:00,Category 53,Subcategory 303,3 - Moderate,Group 70,Closed,1,0,2016-03-14 14:49:00,5.583333333333333
INC0006468,2016-03-14 09:15:00,,2016-03-24 18:52:00,Category 46,Subcategory 174,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,249.61666666666667
INC0006469,2016-03-14 09:16:00,2016-03-15 13:28:00,2016-03-24 19:00:00,Category 20,Subcategory 103,3 - Moderate,Group 70,Closed,1,0,2016-03-15 13:28:00,28.2
INC0006470,2016-03-14 09:16:00,2016-03-14 11:14:00,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-14 11:14:00,1.9666666666666666
INC0006471,2016-03-14 09:17:00,2016-03-23 09:44:00,2016-03-28 09:59:00,Category 57,Subcategory 85,3 - Moderate,Group 25,Closed,3,0,2016-03-23 09:44:00,216.45
INC0006472,2016-03-14 09:18:00,2016-03-14 09:46:00,2016-03-24 18:52:00,Category 53,Subcategory 174,3 - Moderate,,Closed,0,0,2016-03-14 09:46:00,0.4666666666666667
INC0006473,2016-03-14 09:18:00,2016-03-15 10:16:00,2016-03-24 19:00:00,Category 37,Subcategory 135,3 - Moderate,Group 25,Closed,1,0,2016-03-15 10:16:00,24.966666666666665
INC0006474,2016-03-14 09:18:00,2016-03-14 13:43:00,2016-03-24 18:52:00,Category 53,Subcategory 174,3 - Moderate,Group 28,Closed,1,0,2016-03-14 13:43:00,4.416666666666667
INC0006476,2016-03-14 09:19:00,2016-03-22 09:01:00,2016-03-27 09:59:00,Category 32,Subcategory 174,3 - Moderate,Group 70,Closed,7,0,2016-03-22 09:01:00,191.7
INC0006478,2016-03-14 09:20:00,2016-05-04 10:35:00,2016-05-09 11:07:00,Category 26,Subcategory 275,3 - Moderate,Group 70,Closed,9,0,2016-05-04 10:35:00,1225.25
INC0006479,2016-03-14 09:20:00,2016-03-17 14:58:00,2016-03-24 19:00:00,Category 37,Subcategory 144,4 - Low,Group 30,Closed,1,0,2016-03-17 14:58:00,77.63333333333334
INC0006480,2016-03-14 09:20:00,2016-03-14 11:51:00,2016-03-24 18:52:00,Category 51,Subcategory 301,2 - High,Group 56,Closed,5,0,2016-03-14 11:51:00,2.5166666666666666
INC0006481,2016-03-14 09:25:00,2016-03-14 16:36:00,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,1,0,2016-03-14 16:36:00,7.183333333333334
INC0006482,2016-03-14 09:25:00,,2016-03-24 18:52:00,Category 32,Subcategory 9,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,249.45
INC0006483,2016-03-14 09:26:00,2016-03-16 19:17:00,2016-03-24 19:00:00,Category 32,Subcategory 300,3 - Moderate,Group 70,Closed,4,0,2016-03-16 19:17:00,57.85
INC0006484,2016-03-14 09:26:00,2016-10-05 10:37:00,2016-10-10 11:00:00,Category 44,Subcategory 64,3 - Moderate,Group 3,Closed,4,0,2016-10-05 10:37:00,4921.183333333333
INC0006485,2016-03-14 09:28:00,2016-03-18 14:34:00,2016-03-24 19:00:00,Category 53,Subcategory 174,3 - Moderate,Group 30,Closed,2,0,2016-03-18 14:34:00,101.1
INC0006486,2016-03-14 09:29:00,2016-03-15 17:15:00,2016-03-24 19:00:00,Category 46,Subcategory 255,3 - Moderate,Group 6,Closed,2,0,2016-03-15 17:15:00,31.766666666666666
INC0006487,2016-03-14 09:30:00,2016-03-16 15:58:00,2016-03-24 19:00:00,Category 32,Subcategory 9,3 - Moderate,Group 70,Closed,3,0,2016-03-16 15:58:00,54.46666666666667
INC0006488,2016-03-14 09:30:00,2016-03-14 14:05:00,2016-03-24 18:52:00,Category 42,Subcategory 29,3 - Moderate,Group 3,Closed,1,0,2016-03-14 14:05:00,4.583333333333333
INC0006489,2016-03-14 09:31:00,,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,249.35
INC0006490,2016-03-14 09:31:00,2016-03-15 15:46:00,2016-03-24 19:00:00,Category 37,Subcategory 135,3 - Moderate,Group 50,Closed,3,0,2016-03-15 15:46:00,30.25
INC0006491,2016-03-14 09:32:00,2016-03-14 15:07:00,2016-03-24 18:52:00,Category 53,Subcategory 174,3 - Moderate,Group 27,Closed,0,0,2016-03-14 15:07:00,5.583333333333333
INC0006492,2016-03-14 09:33:00,2016-03-15 11:57:00,2016-03-24 19:00:00,Category 20,Subcategory 174,3 - Moderate,Group 70,Closed,1,0,2016-03-15 11:57:00,26.4
INC0006493,2016-03-14 09:34:00,2016-03-14 11:36:00,2016-03-24 18:52:00,Category 42,Subcategory 29,3 - Moderate,Group 55,Closed,0,0,2016-03-14 11:36:00,2.033333333333333
INC0006494,2016-03-14 09:36:00,2016-03-23 11:00:00,2016-03-28 11:59:00,Category 61,Subcategory 164,3 - Moderate,Group 73,Closed,1,0,2016-03-23 11:00:00,217.4
INC0006495,2016-03-14 09:37:00,2016-03-14 13:14:00,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,1,0,2016-03-14 13:14:00,3.6166666666666667
INC0006496,2016-03-14 09:37:00,,2016-03-24 18:52:00,Category 46,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,249.25
INC0006497,2016-03-14 09:39:00,2016-03-15 11:59:00,2016-03-24 19:00:00,Category 9,Subcategory 174,3 - Moderate,Group 30,Closed,0,0,2016-03-15 11:59:00,26.333333333333332
INC0006499,2016-03-14 09:40:00,2016-03-14 14:25:00,2016-03-24 18:52:00,Category 9,Subcategory 164,3 - Moderate,Group 24,Closed,0,0,2016-03-14 14:25:00,4.75
INC0006501,2016-03-14 09:44:00,,2016-03-24 19:00:00,Category 44,Subcategory 174,3 - Moderate,Group 70,Closed,1,0,2016-03-24 19:00:00,249.26666666666668
INC0006502,2016-03-14 09:45:00,2016-03-14 11:03:00,2016-03-24 18:52:00,Category 9,Subcategory 164,3 - Moderate,Group 24,Closed,0,0,2016-03-14 11:03:00,1.3
INC0006503,2016-03-14 09:48:00,2016-04-06 10:44:00,2016-04-11 10:59:00,Category 46,Subcategory 231,3 - Moderate,Group 37,Closed,0,0,2016-04-06 10:44:00,552.9333333333333
INC0006504,2016-03-14 09:48:00,2016-03-23 10:05:00,2016-03-28 10:59:00,Category 61,Subcategory 164,3 - Moderate,Group 73,Closed,1,0,2016-03-23 10:05:00,216.28333333333333
INC0006506,2016-03-14 09:49:00,2016-03-15 09:54:00,2016-03-20 10:01:00,Category 23,Subcategory 3,3 - Moderate,Group 60,Closed,2,0,2016-03-15 09:54:00,24.083333333333332
INC0006508,2016-03-14 09:51:00,2016-03-14 10:18:00,2016-03-24 18:52:00,Category 46,Subcategory 223,3 - Moderate,Group 70,Closed,1,0,2016-03-14 10:18:00,0.45
INC0006509,2016-03-14 09:53:00,2016-03-23 10:01:00,2016-03-28 10:59:00,Category 61,Subcategory 36,3 - Moderate,Group 73,Closed,1,0,2016-03-23 10:01:00,216.13333333333333
INC0006510,2016-03-14 09:54:00,2016-03-31 10:39:00,2016-04-05 10:59:00,Category 24,Subcategory 164,3 - Moderate,Group 24,Closed,0,0,2016-03-31 10:39:00,408.75
INC0006511,2016-03-14 09:54:00,2016-03-14 09:57:00,2016-03-24 18:52:00,Category 51,Subcategory 174,3 - Moderate,Group 64,Closed,0,0,2016-03-14 09:57:00,0.05
INC0006513,2016-03-14 09:55:00,2016-03-21 16:27:00,2016-03-26 16:59:00,Category 53,Subcategory 174,3 - Moderate,Group 25,Closed,0,0,2016-03-21 16:27:00,174.53333333333333
INC0006514,2016-03-14 09:58:00,2016-03-15 08:04:00,2016-03-24 19:00:00,Category 51,Subcategory 174,3 - Moderate,Group 64,Closed,0,0,2016-03-15 08:04:00,22.1
INC0006515,2016-03-14 10:00:00,,2016-03-24 18:52:00,Category 46,Subcategory 174,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,248.86666666666667
INC0006516,2016-03-14 10:00:00,2016-03-15 14:43:00,2016-03-24 19:00:00,Category 37,Subcategory 123,3 - Moderate,Group 27,Closed,1,0,2016-03-15 14:43:00,28.716666666666665
INC0006517,2016-03-14 10:01:00,2016-03-30 10:57:00,2016-04-04 10:59:00,Category 26,Subcategory 275,3 - Moderate,Group 26,Closed,2,0,2016-03-30 10:57:00,384.93333333333334
INC0006518,2016-03-14 10:02:00,,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,248.83333333333334
INC0006519,2016-03-14 10:02:00,2016-03-16 13:23:00,2016-03-24 19:00:00,Category 26,Subcategory 175,3 - Moderate,Group 24,Closed,3,0,2016-03-16 13:23:00,51.35
INC0006520,2016-03-14 10:02:00,2016-03-14 18:14:00,2016-03-24 18:52:00,Category 53,Subcategory 13,3 - Moderate,Group 25,Closed,1,0,2016-03-14 18:14:00,8.2
INC0006521,2016-03-14 10:03:00,2016-03-14 10:13:00,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-14 10:13:00,0.16666666666666666
INC0006522,2016-03-14 10:04:00,2016-03-18 09:36:00,2016-03-24 19:00:00,Category 57,Subcategory 174,3 - Moderate,Group 25,Closed,0,0,2016-03-18 09:36:00,95.53333333333333
INC0006525,2016-03-14 10:08:00,2016-03-23 15:46:00,2016-03-28 15:59:00,Category 53,Subcategory 174,3 - Moderate,Group 70,Closed,2,0,2016-03-23 15:46:00,221.63333333333333
INC0006526,2016-03-14 10:08:00,2016-03-14 13:26:00,2016-03-24 18:52:00,Category 46,Subcategory 223,3 - Moderate,Group 70,Closed,1,0,2016-03-14 13:26:00,3.3
INC0006527,2016-03-14 10:08:00,2016-03-17 10:55:00,2016-03-24 19:00:00,Category 53,Subcategory 174,3 - Moderate,Group 25,Closed,1,0,2016-03-17 10:55:00,72.78333333333333
INC0006528,2016-03-14 10:08:00,2016-03-17 16:46:00,2016-03-24 19:00:00,Category 46,Subcategory 174,3 - Moderate,Group 39,Closed,1,0,2016-03-17 16:46:00,78.63333333333334
INC0006529,2016-03-14 10:09:00,2016-03-15 12:02:00,2016-03-24 19:00:00,Category 37,Subcategory 174,3 - Moderate,Group 46,Closed,1,0,2016-03-15 12:02:00,25.883333333333333
INC0006530,2016-03-14 10:09:00,2016-03-22 13:00:00,2016-03-27 13:59:00,Category 53,Subcategory 303,3 - Moderate,Group 25,Closed,4,0,2016-03-22 13:00:00,194.85
INC0006531,2016-03-14 10:09:00,,2016-03-24 18:52:00,Category 46,Subcategory 174,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,248.71666666666667
INC0006532,2016-03-14 10:11:00,2016-03-14 13:27:00,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,1,0,2016-03-14 13:27:00,3.2666666666666666
INC0006534,2016-03-14 10:13:00,2016-03-17 11:14:00,2016-03-24 19:00:00,Category 57,Subcategory 167,3 - Moderate,Group 76,Closed,1,0,2016-03-17 11:14:00,73.01666666666667
INC0006536,2016-03-14 10:14:00,2016-04-06 13:30:00,2016-04-11 13:59:00,Category 9,Subcategory 174,3 - Moderate,Group 29,Closed,1,0,2016-04-06 13:30:00,555.2666666666667
INC0006537,2016-03-14 10:15:00,2016-03-14 13:07:00,2016-03-24 18:52:00,Category 20,Subcategory 103,3 - Moderate,Group 70,Closed,1,0,2016-03-14 13:07:00,2.8666666666666667
INC0006539,2016-03-14 10:15:00,,2016-03-24 19:00:00,Category 44,Subcategory 60,3 - Moderate,Group 70,Closed,1,0,2016-03-24 19:00:00,248.75
INC0006540,2016-03-14 10:16:00,2016-03-16 15:37:00,2016-03-24 19:00:00,Category 42,Subcategory 223,3 - Moderate,Group 21,Closed,1,0,2016-03-16 15:37:00,53.35
INC0006542,2016-03-14 10:17:00,2016-03-24 13:50:00,2016-03-29 13:59:00,Category 20,Subcategory 103,3 - Moderate,Group 70,Closed,2,0,2016-03-24 13:50:00,243.55
INC0006543,2016-03-14 10:18:00,2016-03-14 10:20:00,2016-03-24 18:52:00,Category 46,Subcategory 223,3 - Moderate,Group 64,Closed,0,0,2016-03-14 10:20:00,0.03333333333333333
INC0006544,2016-03-14 10:19:00,2016-03-23 14:37:00,2016-03-28 14:59:00,Category 46,Subcategory 231,1 - Critical,Group 15,Closed,1,0,2016-03-23 14:37:00,220.3
INC0006545,2016-03-14 10:19:00,2016-03-15 15:42:00,2016-03-24 19:00:00,Category 26,Subcategory 175,3 - Moderate,Group 70,Closed,1,0,2016-03-15 15:42:00,29.383333333333333
INC0006548,2016-03-14 10:21:00,2016-03-14 10:30:00,2016-03-24 18:52:00,Category 46,Subcategory 174,3 - Moderate,,Closed,0,0,2016-03-14 10:30:00,0.15
INC0006549,2016-03-14 10:23:00,2016-03-14 11:16:00,2016-03-24 18:52:00,Category 23,Subcategory 174,3 - Moderate,Group 20,Closed,0,0,2016-03-14 11:16:00,0.8833333333333333
INC0006550,2016-03-14 10:24:00,2016-03-22 11:41:00,2016-03-27 11:59:00,Category 26,Subcategory 175,3 - Moderate,Group 70,Closed,1,0,2016-03-22 11:41:00,193.28333333333333
INC0006551,2016-03-14 10:24:00,2016-03-17 17:45:00,2016-03-24 19:00:00,Category 26,Subcategory 175,3 - Moderate,Group 25,Closed,3,0,2016-03-17 17:45:00,79.35
INC0006552,2016-03-14 10:25:00,2016-03-14 11:13:00,2016-03-24 18:52:00,Category 53,Subcategory 174,4 - Low,Group 24,Closed,0,0,2016-03-14 11:13:00,0.8
INC0006553,2016-03-14 10:25:00,2016-03-16 10:18:00,2016-03-24 19:00:00,Category 35,Subcategory 28,3 - Moderate,Group 70,Closed,1,0,2016-03-16 10:18:00,47.88333333333333
INC0006554,2016-03-14 10:25:00,2016-03-22 14:43:00,2016-03-27 14:59:00,Category 20,Subcategory 125,3 - Moderate,Group 70,Closed,1,0,2016-03-22 14:43:00,196.3
INC0006555,2016-03-14 10:25:00,2016-03-22 16:18:00,2016-03-27 16:59:00,Category 37,Subcategory 174,3 - Moderate,,Closed,0,0,2016-03-22 16:18:00,197.88333333333333
INC0006556,2016-03-14 10:25:00,2016-03-21 11:01:00,2016-03-26 11:59:00,Category 35,Subcategory 132,3 - Moderate,Group 70,Closed,1,0,2016-03-21 11:01:00,168.6
INC0006557,2016-03-14 10:27:00,2016-04-22 08:55:00,2016-04-27 09:07:00,Category 46,Subcategory 231,3 - Moderate,Group 37,Closed,0,0,2016-04-22 08:55:00,934.4666666666667
INC0006558,2016-03-14 10:27:00,2016-03-14 10:29:00,2016-03-24 18:52:00,Category 46,Subcategory 223,3 - Moderate,Group 64,Closed,0,0,2016-03-14 10:29:00,0.03333333333333333
INC0006559,2016-03-14 10:27:00,2016-03-21 12:05:00,2016-03-26 12:59:00,Category 24,Subcategory 164,3 - Moderate,Group 25,Closed,2,0,2016-03-21 12:05:00,169.63333333333333
INC0006561,2016-03-14 10:29:00,2016-03-31 09:38:00,2016-04-05 09:59:00,Category 42,Subcategory 223,3 - Moderate,Group 25,Closed,2,0,2016-03-31 09:38:00,407.15
INC0006562,2016-03-14 10:30:00,2016-03-21 11:06:00,2016-03-26 11:59:00,Category 26,Subcategory 275,3 - Moderate,Group 70,Closed,1,0,2016-03-21 11:06:00,168.6
INC0006564,2016-03-14 10:31:00,2016-03-14 10:35:00,2016-03-24 18:52:00,Category 37,Subcategory 285,3 - Moderate,Group 46,Closed,0,0,2016-03-14 10:35:00,0.06666666666666667
INC0006566,2016-03-14 10:32:00,2016-03-23 10:53:00,2016-03-28 10:59:00,Category 61,Subcategory 36,3 - Moderate,Group 73,Closed,1,0,2016-03-23 10:53:00,216.35
INC0006567,2016-03-14 10:32:00,2016-03-14 10:41:00,2016-03-24 18:52:00,Category 61,Subcategory 164,3 - Moderate,Group 70,Closed,1,0,2016-03-14 10:41:00,0.15
INC0006568,2016-03-14 10:33:00,2016-03-16 12:05:00,2016-03-24 19:00:00,Category 34,Subcategory 151,3 - Moderate,Group 27,Closed,0,0,2016-03-16 12:05:00,49.53333333333333
INC0006569,2016-03-14 10:33:00,2016-03-15 11:38:00,2016-03-24 19:00:00,Category 23,Subcategory 174,3 - Moderate,Group 59,Closed,1,0,2016-03-15 11:38:00,25.083333333333332
INC0006570,2016-03-14 10:34:00,2016-03-16 09:22:00,2016-03-24 19:00:00,Category 26,Subcategory 175,3 - Moderate,Group 70,Closed,1,0,2016-03-16 09:22:00,46.8
INC0006571,2016-03-14 10:35:00,2016-03-18 07:38:00,2016-03-24 19:00:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,2,0,2016-03-18 07:38:00,93.05
INC0006572,2016-03-14 10:35:00,,2016-03-24 18:52:00,Category 32,Subcategory 9,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,248.28333333333333
INC0006573,2016-03-14 10:36:00,2016-03-22 12:37:00,2016-03-27 12:59:00,Category 28,Subcategory 174,3 - Moderate,Group 70,Closed,1,0,2016-03-22 12:37:00,194.01666666666668
INC0006574,2016-03-14 10:36:00,2016-03-16 10:48:00,2016-03-24 19:00:00,Category 32,Subcategory 174,3 - Moderate,Group 70,Closed,1,0,2016-03-16 10:48:00,48.2
INC0006575,2016-03-14 10:37:00,2016-03-15 11:08:00,2016-03-24 19:00:00,Category 23,Subcategory 174,3 - Moderate,Group 25,Closed,1,0,2016-03-15 11:08:00,24.516666666666666
INC0006576,2016-03-14 10:37:00,,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,248.25
INC0006577,2016-03-14 10:37:00,,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,248.25
INC0006578,2016-03-14 10:39:00,2016-03-14 16:08:00,2016-03-24 18:52:00,Category 20,Subcategory 174,3 - Moderate,Group 70,Closed,1,0,2016-03-14 16:08:00,5.483333333333333
INC0006579,2016-03-14 10:39:00,2016-04-08 16:58:00,2016-04-13 16:59:00,Category 46,Subcategory 47,3 - Moderate,Group 31,Closed,2,0,2016-04-08 16:58:00,606.3166666666667
INC0006580,2016-03-14 10:40:00,2016-03-14 11:47:00,2016-03-24 18:52:00,Category 20,Subcategory 125,4 - Low,Group 30,Closed,1,0,2016-03-14 11:47:00,1.1166666666666667
INC0006581,2016-03-14 10:41:00,2016-03-15 09:39:00,2016-03-24 19:00:00,Category 46,Subcategory 223,3 - Moderate,Group 64,Closed,2,0,2016-03-15 09:39:00,22.966666666666665
INC0006582,2016-03-14 10:44:00,2016-03-18 09:54:00,2016-03-24 19:00:00,Category 46,Subcategory 174,3 - Moderate,Group 70,Closed,4,0,2016-03-18 09:54:00,95.16666666666667
INC0006583,2016-03-14 10:45:00,2016-03-22 12:38:00,2016-03-27 12:59:00,Category 28,Subcategory 174,3 - Moderate,Group 70,Closed,1,0,2016-03-22 12:38:00,193.88333333333333
INC0006584,2016-03-14 10:48:00,2016-03-15 16:21:00,2016-03-24 19:00:00,Category 24,Subcategory 174,3 - Moderate,Group 25,Closed,0,0,2016-03-15 16:21:00,29.55
INC0006585,2016-03-14 10:49:00,2016-03-23 15:44:00,2016-03-28 15:59:00,Category 57,Subcategory 174,3 - Moderate,Group 70,Closed,1,0,2016-03-23 15:44:00,220.91666666666666
INC0006586,2016-03-14 10:49:00,2016-04-07 14:13:00,2016-04-12 14:59:00,Category 53,Subcategory 172,3 - Moderate,Group 70,Closed,11,0,2016-04-07 14:13:00,579.4
INC0006587,2016-03-14 10:50:00,2016-03-14 11:47:00,2016-03-24 18:52:00,Category 9,Subcategory 174,3 - Moderate,Group 30,Closed,0,0,2016-03-14 11:47:00,0.95
INC0006588,2016-03-14 10:51:00,2016-03-14 11:43:00,2016-03-24 18:52:00,Category 37,Subcategory 135,3 - Moderate,Group 23,Closed,3,0,2016-03-14 11:43:00,0.8666666666666667
INC0006590,2016-03-14 10:53:00,2016-03-14 11:03:00,2016-03-24 18:52:00,Category 51,Subcategory 174,3 - Moderate,Group 64,Closed,0,0,2016-03-14 11:03:00,0.16666666666666666
INC0006591,2016-03-14 10:53:00,2016-03-14 10:57:00,2016-03-24 18:52:00,Category 32,Subcategory 9,4 - Low,Group 70,Closed,0,0,2016-03-14 10:57:00,0.06666666666666667
INC0006592,2016-03-14 10:53:00,2016-03-23 09:07:00,2016-03-28 09:59:00,Category 61,Subcategory 36,3 - Moderate,Group 74,Closed,1,0,2016-03-23 09:07:00,214.23333333333332
INC0006593,2016-03-14 10:54:00,2016-03-22 11:21:00,2016-03-27 11:59:00,Category 9,Subcategory 202,3 - Moderate,Group 30,Closed,0,0,2016-03-22 11:21:00,192.45
INC0006595,2016-03-14 10:55:00,2016-03-17 15:28:00,2016-03-24 19:00:00,Category 46,Subcategory 223,3 - Moderate,Group 64,Closed,0,0,2016-03-17 15:28:00,76.55
INC0006602,2016-03-14 11:03:00,2016-03-14 11:42:00,2016-03-24 18:52:00,Category 51,Subcategory 174,3 - Moderate,Group 64,Closed,0,0,2016-03-14 11:42:00,0.65
INC0006603,2016-03-14 11:03:00,2016-03-15 11:16:00,2016-03-24 19:00:00,Category 23,Subcategory 174,3 - Moderate,Group 30,Closed,1,0,2016-03-15 11:16:00,24.216666666666665
INC0006605,2016-03-14 11:04:00,2016-03-14 11:17:00,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-14 11:17:00,0.21666666666666667
INC0006606,2016-03-14 11:04:00,2016-04-20 14:36:00,2016-04-25 15:07:00,Category 57,Subcategory 270,3 - Moderate,Group 34,Closed,2,0,2016-04-20 14:36:00,891.5333333333333
INC0006607,2016-03-14 11:04:00,2016-03-15 16:43:00,2016-03-24 19:00:00,Category 40,Subcategory 44,3 - Moderate,Group 70,Closed,3,0,2016-03-15 16:43:00,29.65
INC0006609,2016-03-14 11:06:00,2016-03-29 17:59:00,2016-04-03 18:59:00,Category 53,Subcategory 303,3 - Moderate,Group 29,Closed,3,0,2016-03-29 17:59:00,366.8833333333333
INC0006610,2016-03-14 11:06:00,2016-03-17 08:59:00,2016-03-24 19:00:00,Category 26,Subcategory 275,3 - Moderate,Group 70,Closed,1,0,2016-03-17 08:59:00,69.88333333333334
INC0006611,2016-03-14 11:06:00,2016-03-14 11:18:00,2016-03-24 18:52:00,Category 26,Subcategory 164,3 - Moderate,Group 70,Closed,0,0,2016-03-14 11:18:00,0.2
INC0006612,2016-03-14 11:06:00,2016-03-15 11:54:00,2016-03-24 19:00:00,Category 23,Subcategory 174,3 - Moderate,Group 25,Closed,1,0,2016-03-15 11:54:00,24.8
INC0006614,2016-03-14 11:09:00,2016-03-15 11:15:00,2016-03-24 19:00:00,Category 53,Subcategory 174,3 - Moderate,Group 23,Closed,0,0,2016-03-15 11:15:00,24.1
INC0006615,2016-03-14 11:11:00,,2016-03-24 18:52:00,Category 46,Subcategory 174,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,247.68333333333334
INC0006617,2016-03-14 11:13:00,2016-03-24 09:35:00,2016-03-29 09:59:00,Category 46,Subcategory 223,3 - Moderate,Group 64,Closed,0,0,2016-03-24 09:35:00,238.36666666666667
INC0006619,2016-03-14 11:15:00,2016-03-23 10:00:00,2016-03-28 10:59:00,Category 61,Subcategory 164,3 - Moderate,Group 73,Closed,1,0,2016-03-23 10:00:00,214.75
INC0006622,2016-03-14 11:16:00,2016-03-24 12:09:00,2016-03-29 12:59:00,Category 61,Subcategory 36,3 - Moderate,Group 54,Closed,2,0,2016-03-24 12:09:00,240.88333333333333
INC0006623,2016-03-14 11:16:00,2016-03-14 12:29:00,2016-03-24 18:52:00,Category 46,Subcategory 223,3 - Moderate,Group 64,Closed,0,0,2016-03-14 12:29:00,1.2166666666666666
INC0006625,2016-03-14 11:18:00,2016-05-16 14:02:00,2016-05-21 14:07:00,Category 43,Subcategory 107,3 - Moderate,Group 22,Closed,0,0,2016-05-16 14:02:00,1514.7333333333333
INC0006627,2016-03-14 11:18:00,2016-03-24 09:38:00,2016-03-29 09:59:00,Category 46,Subcategory 223,3 - Moderate,Group 64,Closed,0,0,2016-03-24 09:38:00,238.33333333333334
INC0006629,2016-03-14 11:20:00,2016-03-14 11:28:00,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-14 11:28:00,0.13333333333333333
INC0006630,2016-03-14 11:20:00,2016-03-31 17:43:00,2016-04-05 17:59:00,Category 46,Subcategory 94,1 - Critical,Group 15,Closed,1,0,2016-03-31 17:43:00,414.3833333333333
INC0006631,2016-03-14 11:20:00,2016-03-15 15:07:00,2016-03-24 19:00:00,Category 46,Subcategory 223,3 - Moderate,Group 39,Closed,3,0,2016-03-15 15:07:00,27.783333333333335
INC0006632,2016-03-14 11:21:00,2016-03-14 15:30:00,2016-03-24 18:52:00,Category 13,Subcategory 69,3 - Moderate,Group 23,Closed,1,0,2016-03-14 15:30:00,4.15
INC0006633,2016-03-14 11:23:00,,2016-03-24 18:52:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,247.48333333333332
INC0006634,2016-03-14 11:24:00,2016-03-14 14:38:00,2016-03-24 18:52:00,Category 9,Subcategory 110,3 - Moderate,Group 24,Closed,0,0,2016-03-14 14:38:00,3.2333333333333334
INC0006635,2016-03-14 11:24:00,,2016-03-24 18:52:00,Category 46,Subcategory 174,3 - Moderate,Group 70,Closed,0,0,2016-03-24 18:52:00,247.46666666666667
INC0006636,2016-03-14 11:27:00,2016-03-17 14:38:00,2016-03-24 19:00:00,Category 37,Subcategory 135,3 - Moderate,Group 27,Closed,4,0,2016-03-17 14:38:00,75.18333333333334
INC0006637,2016-03-14 11:29:00,2016-03-23 08:28:00,2016-03-28 08:59:00,Category 53,Subcategory 168,3 - Moderate,Group 30,Closed,2,1,2016-03-23 08:28:00,212.98333333333332
INC0006640,2016-03-14 11:34:00,2016-03-15 16:45:00,2016-03-24 19:00:00,Category 23,Subcategory 174,3 - Moderate,Group 70,Closed,3,0,2016-03-15 16:45:00,29.183333333333334
INC0006641,2016-03-14 11:40:00,2016-04-28 14:41:00,2016-05-03 15:07:00,Category 46,Subcategory 251,3 - Moderate,Group 22,Closed,0,0,2016-04-28 14:41:00,1083.0166666666667
INC0006642,2016-03-14 11:40:00,2016-03-22 11:32:00,2016-03-27 11:59:00,Category 20,Subcategory 174,3 - Moderate,Group 70,Closed,1,0,2016-03-22 11:32:00,191.86666666666667
INC0006643,2016-03-14 11:41:00,2016-03-22 11:25:00,2016-03-27 11:59:00,Category 53,Subcategory 174,3 - Moderate,Group 70,Closed,1,0,2016-03-22 11:25:00,191.73333333333332
INC0006646,2016-03-14 11:43:00,2016-03-15 10:55:00,2016-03-24 19:00:00,Category 9,Subcategory 174,3 - Moderate,Group 25,Closed,0,0,2016-03-15 10:55:00,23.2
INC0006647,2016-03-14 11:44:00,2016-03-15 01:21:00,2016-03-24 19:00:00,Category 42,Subcategory 223,3 - Moderate,Group 70,Closed,1,1,2016-03-15 01:21:00,13.616666666666667
INC0006648,2016-03-14 11:46:00,2016-05-05 10:04:00,2016-05-10 10:07:00,Category 46,Subcategory 255,4 - Low,Group 6,Closed,0,0,2016-05-05 10:04:00,1246.3
